transaction_id,amount,transaction_type,card_type,location,time_of_day,day_of_week,transaction_hour,previous_fraud_attempts,account_age_days,device_trust_score,is_fraud
TXN-0000,234.63404498842954,in_store,Amex,Berlin,late_night,Thursday,23,1,86,20,0.0
TXN-0001,1505.0607154587606,online,Discover,Singapore,afternoon,Friday,7,1,120,63,0.0
TXN-0002,658.3728467727246,online,Mastercard,New York,afternoon,Thursday,20,0,455,94,0.0
TXN-0003,456.4712768879766,in_store,Discover,Berlin,afternoon,Wednesday,14,0,4,99,0.0
TXN-0004,84.81243523117314,in_store,Discover,Berlin,morning,Sunday,21,0,191,28,0.0
TXN-0005,84.7981459573026,online,Amex,Singapore,morning,Tuesday,19,1,940,51,0.0
TXN-0006,29.919384304340337,atm,Discover,New York,late_night,Wednesday,13,1,43,34,0.0
TXN-0007,1005.6154322399698,in_store,Amex,Berlin,afternoon,Saturday,8,0,265,31,0.0
TXN-0008,459.5410768136323,atm,Visa,Paris,morning,Monday,7,0,563,97,0.0
TXN-0009,615.6250308522951,in_store,Visa,Paris,afternoon,Sunday,16,0,1042,76,0.0
TXN-0010,10.399653999569312,in_store,Amex,Paris,evening,Monday,1,1,501,27,0.0
TXN-0011,1751.778737579156,online,Visa,New York,evening,Thursday,23,0,465,91,0.0
TXN-0012,893.2147716773376,atm,Mastercard,Berlin,evening,Sunday,2,0,639,46,0.0
TXN-0013,119.3438126244735,in_store,Discover,New York,late_night,Friday,7,0,215,81,0.0
TXN-0014,100.33949437483169,online,Mastercard,Paris,afternoon,Wednesday,11,0,598,31,0.0
TXN-0015,101.30571141612853,online,Discover,Singapore,evening,Friday,0,0,2,84,0.0
TXN-0016,181.37686473023857,online,Visa,Berlin,morning,Thursday,9,1,943,61,0.0
TXN-0017,371.9639154304272,in_store,Mastercard,Berlin,evening,Monday,19,0,213,81,0.0
TXN-0018,282.76853339016833,atm,Visa,Sydney,evening,Sunday,2,0,294,30,0.0
TXN-0019,172.11149627697074,online,Discover,Sydney,evening,Friday,5,0,107,62,0.0
